id,question,system,gt_sim,groundedness,support_ratio,has_context
1,Šta je neuronska mreža?,LLMOnly_local,0.2361,0,0.0,0
2,What is overfitting in machine learning?,LLMOnly_local,0.3279,0,0.0,0
3,Šta znači RAG u kontekstu LLM sistema?,LLMOnly_local,0.1559,0,0.0,0
4,What is an embedding in NLP?,LLMOnly_local,0.169,0,0.0,0
5,Šta je halucinacija u LLM modelima?,LLMOnly_local,0.0697,0,0.0,0
6,What is FAISS?,LLMOnly_local,0.3779,0,0.0,0
7,Šta je cosine similarity?,LLMOnly_local,0.1522,0,0.0,0
8,What is a vector database?,LLMOnly_local,0.1454,0,0.0,0
9,Šta je algoritam?,LLMOnly_local,0.1325,0,0.0,0
10,What is Big O notation?,LLMOnly_local,0.1789,0,0.0,0
11,Šta je Newtonov drugi zakon?,LLMOnly_local,0.1319,0,0.0,0
12,What is the derivative of x^2?,LLMOnly_local,0.6512,0,0.0,0
13,Šta je integral?,LLMOnly_local,0.122,0,0.0,0
14,What is SQL?,LLMOnly_local,0.3465,0,0.0,0
15,Šta je primarni ključ u bazi podataka?,LLMOnly_local,0.1339,0,0.0,0
16,What is precision in classification?,LLMOnly_local,0.1756,0,0.0,0
17,Šta je recall u klasifikaciji?,LLMOnly_local,0.1706,0,0.0,0
18,What is F1-score?,LLMOnly_local,0.2411,0,0.0,0
19,Šta je operativni sistem?,LLMOnly_local,0.1372,0,0.0,0
20,What is RAM memory?,LLMOnly_local,0.2635,0,0.0,0
21,Explain the difference between supervised and unsupervised learning.,LLMOnly_local,0.1108,0,0.0,0
22,Šta je gradijentni spust i čemu služi?,LLMOnly_local,0.1045,0,0.0,0
23,What is the purpose of attention mechanism in transformers?,LLMOnly_local,0.3036,0,0.0,0
24,Šta je Bayesova teorema?,LLMOnly_local,0.1801,0,0.0,0
25,What is the time complexity of binary search?,LLMOnly_local,1.0,0,0.0,0
26,Objasni razliku između TCP i UDP protokola.,LLMOnly_local,0.1398,0,0.0,0
27,What is the fundamental theorem of calculus?,LLMOnly_local,0.23,0,0.0,0
28,Šta je normalizacija baze podataka?,LLMOnly_local,0.1474,0,0.0,0
29,What is cross-entropy loss?,LLMOnly_local,0.2424,0,0.0,0
30,Šta je entropija u teoriji informacija?,LLMOnly_local,0.1538,0,0.0,0
31,In which year was the Transformer architecture introduced?,LLMOnly_local,0.6624,0,0.0,0
32,Šta predstavlja zakon očuvanja energije?,LLMOnly_local,0.147,0,0.0,0
33,What is the difference between precision and recall?,LLMOnly_local,0.1631,0,0.0,0
34,Šta je hash funkcija?,LLMOnly_local,0.1683,0,0.0,0
35,What is the Pythagorean theorem?,LLMOnly_local,0.3025,0,0.0,0
36,Which company developed FAISS?,LLMOnly_local,0.2305,0,0.0,0
37,Šta je latentni prostor u dubokom učenju?,LLMOnly_local,0.1593,0,0.0,0
38,What does GPU stand for?,LLMOnly_local,1.0,0,0.0,0
39,Šta je diferencijalna jednačina?,LLMOnly_local,0.3045,0,0.0,0
40,What is the speed of light in vacuum?,LLMOnly_local,1.0,0,0.0,0
41,Who invented the Python programming language?,LLMOnly_local,0.2329,0,0.0,0
42,Šta je matrica?,LLMOnly_local,0.1215,0,0.0,0
43,What is the difference between AI and machine learning?,LLMOnly_local,0.1957,0,0.0,0
44,Šta je logaritamska funkcija?,LLMOnly_local,0.1404,0,0.0,0
45,What is quantum computing?,LLMOnly_local,0.299,0,0.0,0
46,Šta je diferencija između IPv4 i IPv6?,LLMOnly_local,0.0894,0,0.0,0
47,What is backpropagation?,LLMOnly_local,0.219,0,0.0,0
48,Šta je heuristika?,LLMOnly_local,0.2289,0,0.0,0
49,What is the difference between RAM and ROM?,LLMOnly_local,0.193,0,0.0,0
50,Šta je LLM (Large Language Model)?,LLMOnly_local,0.1433,0,0.0,0
