id,question,answer_gold_similarity,quality_label,correct_threshold,partial_threshold,unsupported_sentence_ratio,supported_threshold,unsupported_sentences,total_sentences
1,Šta je neuronska mreža?,0.7882,correct,0.7,0.55,1.0,0.65,2,2
2,What is overfitting in machine learning?,0.8265,correct,0.7,0.55,0.5,0.65,1,2
3,Šta znači RAG u kontekstu LLM sistema?,0.7826,correct,0.7,0.55,0.0,0.65,0,1
4,What is an embedding in NLP?,0.8581,correct,0.7,0.55,0.0,0.65,0,2
5,Šta je halucinacija u LLM modelima?,0.6406,partial,0.7,0.55,1.0,0.65,2,2
6,What is FAISS?,0.4711,incorrect,0.7,0.55,1.0,0.65,1,1
7,Šta je cosine similarity?,0.6543,partial,0.7,0.55,1.0,0.65,1,1
8,What is a vector database?,0.6907,partial,0.7,0.55,0.0,0.65,0,1
9,Šta je algoritam?,0.5574,partial,0.7,0.55,0.0,0.65,0,2
10,What is Big O notation?,0.7876,correct,0.7,0.55,0.0,0.65,0,1
11,Šta je Newtonov drugi zakon?,0.7912,correct,0.7,0.55,1.0,0.65,1,1
12,What is the derivative of x^2?,1.0,correct,0.7,0.55,0.0,0.65,0,1
13,Šta je integral?,0.6817,partial,0.7,0.55,1.0,0.65,1,1
14,What is SQL?,0.4116,incorrect,0.7,0.55,0.0,0.65,0,1
15,Šta je primarni ključ u bazi podataka?,0.7847,correct,0.7,0.55,0.0,0.65,0,1
16,What is precision in classification?,0.6798,partial,0.7,0.55,0.0,0.65,0,2
17,Šta je recall u klasifikaciji?,0.6119,partial,0.7,0.55,1.0,0.65,1,1
18,What is F1-score?,0.4896,incorrect,0.7,0.55,1.0,0.65,1,1
19,Šta je operativni sistem?,0.807,correct,0.7,0.55,0.0,0.65,0,3
20,What is RAM memory?,0.4459,incorrect,0.7,0.55,0.0,0.65,0,2
21,Explain the difference between supervised and unsupervised learning.,0.8866,correct,0.7,0.55,0.5,0.65,1,2
22,Šta je gradijentni spust i čemu služi?,0.767,correct,0.7,0.55,1.0,0.65,2,2
23,What is the purpose of attention mechanism in transformers?,0.6813,partial,0.7,0.55,0.0,0.65,0,1
24,Šta je Bayesova teorema?,0.8399,correct,0.7,0.55,1.0,0.65,1,1
25,What is the time complexity of binary search?,0.4911,incorrect,0.7,0.55,0.0,0.65,0,1
26,Objasni razliku između TCP i UDP protokola.,0.8871,correct,0.7,0.55,0.5,0.65,1,2
27,What is the fundamental theorem of calculus?,0.8253,correct,0.7,0.55,0.0,0.65,0,1
28,Šta je normalizacija baze podataka?,0.722,correct,0.7,0.55,0.0,0.65,0,2
29,What is cross-entropy loss?,0.7659,correct,0.7,0.55,0.0,0.65,0,2
30,Šta je entropija u teoriji informacija?,0.7249,correct,0.7,0.55,0.0,0.65,0,1
31,In which year was the Transformer architecture introduced?,0.3496,incorrect,0.7,0.55,0.0,0.65,0,0
32,Šta predstavlja zakon očuvanja energije?,0.6918,partial,0.7,0.55,1.0,0.65,1,1
33,What is the difference between precision and recall?,0.651,partial,0.7,0.55,0.0,0.65,0,1
34,Šta je hash funkcija?,0.7593,correct,0.7,0.55,1.0,0.65,1,1
35,What is the Pythagorean theorem?,0.81,correct,0.7,0.55,0.0,0.65,0,1
36,Which company developed FAISS?,0.4717,incorrect,0.7,0.55,1.0,0.65,1,1
37,Šta je latentni prostor u dubokom učenju?,0.7245,correct,0.7,0.55,1.0,0.65,1,1
38,What does GPU stand for?,1.0,correct,0.7,0.55,0.0,0.65,0,1
39,Šta je diferencijalna jednačina?,0.8562,correct,0.7,0.55,0.0,0.65,0,1
40,What is the speed of light in vacuum?,0.359,incorrect,0.7,0.55,1.0,0.65,1,1
41,Who invented the Python programming language?,0.4812,incorrect,0.7,0.55,1.0,0.65,1,1
42,Šta je matrica?,0.5661,partial,0.7,0.55,0.6667,0.65,2,3
43,What is the difference between AI and machine learning?,0.0797,incorrect,0.7,0.55,0.0,0.65,0,1
44,Šta je logaritamska funkcija?,0.8267,correct,0.7,0.55,1.0,0.65,1,1
45,What is quantum computing?,0.53,incorrect,0.7,0.55,1.0,0.65,2,2
46,Šta je diferencija između IPv4 i IPv6?,0.6873,partial,0.7,0.55,0.0,0.65,0,3
47,What is backpropagation?,0.5945,partial,0.7,0.55,1.0,0.65,1,1
48,Šta je heuristika?,0.7322,correct,0.7,0.55,0.0,0.65,0,1
49,What is the difference between RAM and ROM?,0.8735,correct,0.7,0.55,0.3333,0.65,1,3
50,Šta je LLM (Large Language Model)?,0.8499,correct,0.7,0.55,1.0,0.65,1,1
