id,question,system,gt_sim,groundedness,support_ratio,has_context
1,Šta je neuronska mreža?,RAG_local,0.2593,1,0.3333,1
2,What is overfitting in machine learning?,RAG_local,0.3347,2,1.0,1
3,Šta znači RAG u kontekstu LLM sistema?,RAG_local,0.4672,1,0.5,1
4,What is an embedding in NLP?,RAG_local,0.2906,2,1.0,1
5,Šta je halucinacija u LLM modelima?,RAG_local,0.2528,1,0.3333,1
6,What is FAISS?,RAG_local,0.4896,2,1.0,1
7,Šta je cosine similarity?,RAG_local,0.2922,2,1.0,1
8,What is a vector database?,RAG_local,0.2713,2,1.0,1
9,Šta je algoritam?,RAG_local,0.2871,0,0.0,1
10,What is Big O notation?,RAG_local,0.3429,2,1.0,1
11,Šta je Newtonov drugi zakon?,RAG_local,0.3885,0,0.0,1
12,What is the derivative of x^2?,RAG_local,0.8235,0,0.0,1
13,Šta je integral?,RAG_local,0.1934,0,0.25,1
14,What is SQL?,RAG_local,0.1709,1,0.5,1
15,Šta je primarni ključ u bazi podataka?,RAG_local,0.3648,0,0.0,1
16,What is precision in classification?,RAG_local,0.3573,2,1.0,1
17,Šta je recall u klasifikaciji?,RAG_local,0.1692,0,0.25,1
18,What is F1-score?,RAG_local,0.3665,2,1.0,1
19,Šta je operativni sistem?,RAG_local,0.3177,0,0.0,1
20,What is RAM memory?,RAG_local,0.1028,2,1.0,1
21,Explain the difference between supervised and unsupervised learning.,RAG_local,0.2476,2,1.0,1
22,Šta je gradijentni spust i čemu služi?,RAG_local,0.2423,0,0.0,1
23,What is the purpose of attention mechanism in transformers?,RAG_local,0.2328,2,1.0,1
24,Šta je Bayesova teorema?,RAG_local,0.217,2,1.0,1
25,What is the time complexity of binary search?,RAG_local,0.4414,2,1.0,1
26,Objasni razliku između TCP i UDP protokola.,RAG_local,0.1411,0,0.1667,1
27,What is the fundamental theorem of calculus?,RAG_local,0.3448,2,1.0,1
28,Šta je normalizacija baze podataka?,RAG_local,0.125,0,0.0,1
29,What is cross-entropy loss?,RAG_local,0.2669,2,1.0,1
30,Šta je entropija u teoriji informacija?,RAG_local,0.1495,0,0.0,1
31,In which year was the Transformer architecture introduced?,RAG_local,0.6582,2,1.0,1
32,Šta predstavlja zakon očuvanja energije?,RAG_local,0.2394,0,0.0,1
33,What is the difference between precision and recall?,RAG_local,0.1762,2,1.0,1
34,Šta je hash funkcija?,RAG_local,0.1963,0,0.0,1
35,What is the Pythagorean theorem?,RAG_local,0.2932,2,1.0,1
36,Which company developed FAISS?,RAG_local,0.4971,2,1.0,1
37,Šta je latentni prostor u dubokom učenju?,RAG_local,0.2941,0,0.0,1
38,What does GPU stand for?,RAG_local,0.4878,2,1.0,1
39,Šta je diferencijalna jednačina?,RAG_local,0.296,0,0.0,1
40,What is the speed of light in vacuum?,RAG_local,0.9041,2,1.0,1
41,Who invented the Python programming language?,RAG_local,0.3505,2,1.0,1
42,Šta je matrica?,RAG_local,0.1585,0,0.0,1
43,What is the difference between AI and machine learning?,RAG_local,0.2886,2,1.0,1
44,Šta je logaritamska funkcija?,RAG_local,0.3858,0,0.0,1
45,What is quantum computing?,RAG_local,0.5,2,1.0,1
46,Šta je diferencija između IPv4 i IPv6?,RAG_local,0.0742,0,0.25,1
47,What is backpropagation?,RAG_local,0.3158,2,1.0,1
48,Šta je heuristika?,RAG_local,0.2591,0,0.25,1
49,What is the difference between RAM and ROM?,RAG_local,0.2338,2,1.0,1
50,Šta je LLM (Large Language Model)?,RAG_local,0.4451,0,0.0,1
