id,question,system,gt_sim,groundedness,support_ratio,has_context
1,Šta je neuronska mreža?,RAG_cloud,0.4245,0,0.0,1
2,What is overfitting in machine learning?,RAG_cloud,0.4926,2,1.0,1
3,Šta znači RAG u kontekstu LLM sistema?,RAG_cloud,0.5387,0,0.0,1
4,What is an embedding in NLP?,RAG_cloud,0.4839,2,1.0,1
5,Šta je halucinacija u LLM modelima?,RAG_cloud,0.3961,0,0.0,1
6,What is FAISS?,RAG_cloud,0.3575,0,0.0,1
7,Šta je cosine similarity?,RAG_cloud,0.7154,0,0.0,1
8,What is a vector database?,RAG_cloud,0.5649,2,1.0,1
9,Šta je algoritam?,RAG_cloud,0.3013,0,0.0,1
10,What is Big O notation?,RAG_cloud,0.4983,2,1.0,1
11,Šta je Newtonov drugi zakon?,RAG_cloud,0.4038,0,0.0,1
12,What is the derivative of x^2?,RAG_cloud,1.0,0,0.0,1
13,Šta je integral?,RAG_cloud,0.358,2,1.0,1
14,What is SQL?,RAG_cloud,0.4286,2,1.0,1
15,Šta je primarni ključ u bazi podataka?,RAG_cloud,0.7543,0,0.0,1
16,What is precision in classification?,RAG_cloud,0.5023,2,1.0,1
17,Šta je recall u klasifikaciji?,RAG_cloud,0.5022,0,0.0,1
18,What is F1-score?,RAG_cloud,0.3654,0,0.0,1
19,Šta je operativni sistem?,RAG_cloud,0.3444,0,0.0,1
20,What is RAM memory?,RAG_cloud,0.2353,1,0.5,1
21,Explain the difference between supervised and unsupervised learning.,RAG_cloud,0.4444,2,1.0,1
22,Šta je gradijentni spust i čemu služi?,RAG_cloud,0.3901,0,0.0,1
23,What is the purpose of attention mechanism in transformers?,RAG_cloud,0.3802,2,1.0,1
24,Šta je Bayesova teorema?,RAG_cloud,0.3045,0,0.0,1
25,What is the time complexity of binary search?,RAG_cloud,0.748,2,1.0,1
26,Objasni razliku između TCP i UDP protokola.,RAG_cloud,0.2808,1,0.5,1
27,What is the fundamental theorem of calculus?,RAG_cloud,0.5485,2,1.0,1
28,Šta je normalizacija baze podataka?,RAG_cloud,0.2348,0,0.0,1
29,What is cross-entropy loss?,RAG_cloud,0.3631,2,1.0,1
30,Šta je entropija u teoriji informacija?,RAG_cloud,0.3396,0,0.0,1
31,In which year was the Transformer architecture introduced?,RAG_cloud,0.1429,0,0.0,1
32,Šta predstavlja zakon očuvanja energije?,RAG_cloud,0.6032,0,0.0,1
33,What is the difference between precision and recall?,RAG_cloud,0.3413,2,1.0,1
34,Šta je hash funkcija?,RAG_cloud,0.5894,0,0.0,1
35,What is the Pythagorean theorem?,RAG_cloud,0.5152,2,1.0,1
36,Which company developed FAISS?,RAG_cloud,0.2973,0,0.0,1
37,Šta je latentni prostor u dubokom učenju?,RAG_cloud,0.4549,0,0.0,1
38,What does GPU stand for?,RAG_cloud,1.0,2,1.0,1
39,Šta je diferencijalna jednačina?,RAG_cloud,0.3616,0,0.0,1
40,What is the speed of light in vacuum?,RAG_cloud,0.2796,0,0.0,1
41,Who invented the Python programming language?,RAG_cloud,0.5818,2,1.0,1
42,Šta je matrica?,RAG_cloud,0.1799,0,0.0,1
43,What is the difference between AI and machine learning?,RAG_cloud,0.3089,2,1.0,1
44,Šta je logaritamska funkcija?,RAG_cloud,0.5919,0,0.0,1
45,What is quantum computing?,RAG_cloud,0.4872,2,1.0,1
46,Šta je diferencija između IPv4 i IPv6?,RAG_cloud,0.2601,2,1.0,1
47,What is backpropagation?,RAG_cloud,0.2865,0,0.0,1
48,Šta je heuristika?,RAG_cloud,0.2688,0,0.0,1
49,What is the difference between RAM and ROM?,RAG_cloud,0.2737,0,0.0,1
50,Šta je LLM (Large Language Model)?,RAG_cloud,0.4173,0,0.0,1
