id,question,precision_at_k,recall_at_k,mrr,first_relevant_rank,relevant_in_top_k,had_error
1,Šta je neuronska mreža?,0.0,0.0,0.0,,0,False
2,What is overfitting in machine learning?,0.0,0.0,0.0,,0,False
3,Šta znači RAG u kontekstu LLM sistema?,0.0,0.0,0.0,,0,False
4,What is an embedding in NLP?,0.0,0.0,0.0,,0,False
5,Šta je halucinacija u LLM modelima?,0.0,0.0,0.0,,0,False
6,What is FAISS?,0.0,0.0,0.0,,0,False
7,Šta je cosine similarity?,0.0,0.0,0.0,,0,False
8,What is a vector database?,0.0,0.0,0.0,,0,False
9,Šta je algoritam?,0.0,0.0,0.0,,0,False
10,What is Big O notation?,0.0,0.0,0.0,,0,False
11,Šta je Newtonov drugi zakon?,0.2,1.0,1.0,1,1,False
12,What is the derivative of x^2?,0.0,0.0,0.0,,0,False
13,Šta je integral?,0.0,0.0,0.0,,0,False
14,What is SQL?,0.0,0.0,0.0,,0,False
15,Šta je primarni ključ u bazi podataka?,0.0,0.0,0.0,,0,False
16,What is precision in classification?,0.0,0.0,0.0,,0,False
17,Šta je recall u klasifikaciji?,0.0,0.0,0.0,,0,False
18,What is F1-score?,0.0,0.0,0.0,,0,False
19,Šta je operativni sistem?,0.0,0.0,0.0,,0,False
20,What is RAM memory?,0.0,0.0,0.0,,0,False
21,Explain the difference between supervised and unsupervised learning.,0.0,0.0,0.0,,0,False
22,Šta je gradijentni spust i čemu služi?,0.0,0.0,0.0,,0,False
23,What is the purpose of attention mechanism in transformers?,0.0,0.0,0.0,,0,False
24,Šta je Bayesova teorema?,0.0,0.0,0.0,,0,False
25,What is the time complexity of binary search?,0.0,0.0,0.0,,0,False
26,Objasni razliku između TCP i UDP protokola.,0.0,0.0,0.0,,0,False
27,What is the fundamental theorem of calculus?,0.0,0.0,0.0,,0,False
28,Šta je normalizacija baze podataka?,0.0,0.0,0.0,,0,False
29,What is cross-entropy loss?,0.0,0.0,0.0,,0,False
30,Šta je entropija u teoriji informacija?,0.2,1.0,1.0,1,1,False
31,In which year was the Transformer architecture introduced?,0.4,1.0,0.3333333333333333,3,2,False
32,Šta predstavlja zakon očuvanja energije?,0.6,1.0,1.0,1,3,False
33,What is the difference between precision and recall?,0.0,0.0,0.0,,0,False
34,Šta je hash funkcija?,0.0,0.0,0.0,,0,False
35,What is the Pythagorean theorem?,0.0,0.0,0.0,,0,False
36,Which company developed FAISS?,0.0,0.0,0.0,,0,False
37,Šta je latentni prostor u dubokom učenju?,0.0,0.0,0.0,,0,False
38,What does GPU stand for?,0.0,0.0,0.0,,0,False
39,Šta je diferencijalna jednačina?,0.0,0.0,0.0,,0,False
40,What is the speed of light in vacuum?,0.0,0.0,0.0,,0,False
41,Who invented the Python programming language?,0.0,0.0,0.0,,0,False
42,Šta je matrica?,0.2,1.0,0.25,4,1,False
43,What is the difference between AI and machine learning?,0.0,0.0,0.0,,0,False
44,Šta je logaritamska funkcija?,0.0,0.0,0.0,,0,False
45,What is quantum computing?,0.0,0.0,0.0,,0,False
46,Šta je diferencija između IPv4 i IPv6?,0.0,0.0,0.0,,0,False
47,What is backpropagation?,0.0,0.0,0.0,,0,False
48,Šta je heuristika?,0.0,0.0,0.0,,0,False
49,What is the difference between RAM and ROM?,0.0,0.0,0.0,,0,False
50,Šta je LLM (Large Language Model)?,0.0,0.0,0.0,,0,False
